Timestamp,Reviewer name,Example name,Example URL,How many lines long is the example?,Please select the programming concepts used in this example.,Please select the development and programming concepts this example demonstrates well.,"Copy and past the code into this analyzer:  https://editor.p5js.org/cfoss/full/T7fRjDnjW
Paste the output text here. Check for errors and edit as needed.","From the list above, which items are a clearly demonstrated focus of this example?","Please select all tags that describe this example (including its category, themes, end goal, etc.).","If there are any additional terms that could be used as tags to describe this example, list them here:",What senses are required to fully engage with what the sketch renders?,Is/are the color contrast(s) in the resulting render high enough so that the visitor can clearly understand what is being demonstrated? (Use the WebAIM Color Contrast checker at WCAG AA requirements.),"If there is a visual render, is the resulting render animated?","If there is a visual render and it is animated, does the animation automatically start when the page loads?","If there is a visual render and it is animated, does the render produce quick flashing lights? (See WCAG 2.3.1 for more information.)","If you have any additional notes on accessibility, include them here.",Is there a paragraph section above the example sketch?,Use the Hemmingway App to evaluate the reading level of the intro paragraph.,"If the paragraph contains any dev terms or concepts that should link to any p5.js Reference pages and/or external assisting content, such as MDN docs or W3C docs, please copy and paste the term or concept in the text input below.",Note any typos or spelling errors in the introductory paragraph.,"If the paragraph includes any content that does not read as both friendly & formal, note it here.","If the paragraph includes any content that does not translate well between generations and cultures, note it here.","If the paragraph includes any irrelevant/distracting content, note it here.","If you have any additional notes about the introduction paragraph, include them here.",How would you rate the number of comments in terms of assisting the reader through the code?,Note any typos or spelling errors in the comments.,"If the comments include any content that does not read as both friendly & formal, note the line number and content here.","If the comments include any content that does not translate well between generations and cultures, note the line number and content here.","If the comments include any irrelevant/distracting content, note the line number and content here.","If you have any additional notes about the comments, include them here.","What programming techniques or parts of the API, if any, do not need to be included in this example?",How fragile is the example with change?,"If you have any additional notes about the quality of the demonstration, include them here.",Are any variable and/or function names abbreviated?,How clear and descriptive are the names for variables and defined functions?,Does it use prototype syntax?,Are any variables declared using the var keyword?,"If there is anything about the code itself that appears out of date or could be better implemented and is not captured by the questions above, note that here.","Is the ""this"" keyword used?",Is the const keyword used?,What units are used for angles?,"If angles in degrees are used, which of these functions are called?",How many global variables are declared?,How many local variables are declared?,How many object properties (excluding functions) are declared?,How many object methods are declared (including constructor)?,Does it use arrow functions?,"Does it use variable increment/decrement/relative assignment operators?
",How would you label the difficulty of this example?,"If you have any additional notes about the skill level, include them here.","In your opinion, how would you rate the helpfulness of this example to someone learning creative coding through p5?","If you have any additional notes on this example not captured by the previous questions, include them here."
10/25/2023 3:22:01,Lance Cole,Conditionals 1,https://p5js.org/examples/control-conditionals-1.html,17,"if/else, for loop, custom variables, method calling","if/else, for loop, custom variables, method calling","background, createCanvas, height, line, setup, stroke, width","background, createCanvas, height, line, setup, stroke, width","data visualization, math",,Visual,Yes,No,No,No,"Maybe the lines themselves could be brightened up some for better contrast against the black background, but it's fairly easy to read here.",Yes,Grades 7 and above,,,,,,"I'd like more of this sort of intro structure across the entirety of the examples. Simple, down to earth, gives a bit of context to the upcoming sketch, with a straightforward, basic explanation of the concept being learned. I'd say this is a pretty good description, honestly.",4,"""If 'i' divides by 20 with no remainder draw the first line"" needs a comma between remainder and draw",,,,"Maybe a comment explaining that we create the canvas and assign it a background of black (0), and also maybe that we're iterating in steps of 10 in the for loop and why, but otherwise is simple enough that it kind of works itself out if the reader has a bit of context into for loops and how P5 works.",,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,1,0,0,No,Yes,Intermediate,"By virtue of the for loop being there, I'd assign this as intermediate by default. However, I do think this example would be a great entry point into things like for loops, iteration, and the like.",8,
10/25/2023 3:33:52,Lance Cole,Conditionals 2,https://p5js.org/examples/control-conditionals-2.html,22,"if/else, for loop, custom variables, method calling","if/else, for loop, custom variables, method calling","background, createCanvas, height, line, setup, stroke, width","background, createCanvas, height, line, setup, stroke, width","data visualization, math",,Visual,No,No,No,No,"I definitely wouldn't mind more contrast between the black background and the dark grey lines, maybe even a toggle in the code for a ""rainbow"" or palette/random color option for people who have issues seeing the individual lines.",Yes,Grades 7 and above,,,,,,"Pretty much extends from the Conditionals 1 example. Simple, clean, brings a bit more meat and clarity to Conditionals 1. The only thing I would maybe change is to add a link to Conditionals 1, but otherwise I think it's a great and to-the-point intro, especially with the comments down below.",4,,,,,"I'd include exactly which lines are bring drawn with each if/else case (e.g., ""If 'i' divides by 20 with no remainder, draw a top line""). Also include a comment on how the for loop is iterating, as something like width - 2 could potentially get confusing.",,1,,Yes,4,No,No,"I feel like the variable i could be renamed to something a bit more descriptive here, but I'm not entirely sure what at the moment.",No,No,N/A,N/A or neither,0,1,0,0,No,Yes,Intermediate,"More or less in line with Conditionals 1. For loop could potentially take things out of ""beginner"" status, but is a pretty simple continuation of the first conditionals example.",8,"Anything I placed in this section from Conditionals 1 would also apply here, honestly. Still a fairly good patch/documentation."
10/28/2023 14:54:04,Amy Chen,Constrain,https://p5js.org/examples/input-constrain.html,31,"if/else, custom variables",if/else,"abs, background, constrain, CORNERS, createCanvas, draw, ellipse, ellipseMode, fill, height, mouseX, mouseY, noStroke, RADIUS, rect, rectMode, setup, width"," constrain, CORNERS, mouseX, mouseY,",interactivity,,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,No,,,,,,,,1,,,,,"Comments for explaining easing, abs, and corners to make this understandable. ",,4,,Yes,3,No,No,Suggestion: changing the abbreviations of mx & my to something more informative. ,No,No,N/A,N/A or neither,6,0,0,0,No,No,Beginner,Adding more the introduction paragraph on edges and constraints as well as comments would make this example easier to understand. ,9,
10/28/2023 13:23:58,Amy Chen,Continuous Lines,https://p5js.org/examples/drawing-continuous-lines.html,11,if/else,if/else,"background, createCanvas, draw, line, mouseIsPressed, mouseX, mouseY, pmouseX, pmouseY, setup, stroke","line, mouseIsPressed, mouseX, mouseY, pmouseX, pmouseY, stroke",interactivity,,"Visual, Interactive/Kinesthetic",Yes,No,,,Suggestion: Make the line larger.,No,,,,,,,,1,,,,,,,2,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Beginner,,10,
10/28/2023 0:18:59,Lance Cole,Convolution,https://p5js.org/examples/image-convolution.html,86,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","alpha, background, blue, color, constrain, createCanvas, draw, floor, green, height, loadImage, loadPixels, mouseX, mouseY, pixelDensity, pixels, preload, red, setup, updatePixels, width","alpha, background, blue, color, constrain, createCanvas, draw, floor, green, height, loadImage, loadPixels, mouseX, mouseY, pixelDensity, pixels, preload, red, setup, updatePixels, width",interactivity,"image, image processing, convolution",Interactive/Kinesthetic,No,No,No,No,The convolution area could be brighter colored/more contrasting compared to the image in the back.,Yes,Grade 6,"convolution, filter, pixel[], loadImage, loadPixels",,,,,"Could do with some explanation of convolution actually is, and how it ties into the sketch at hand.",5,,,,,,,1,,Yes,4,No,No,"We should do away with some of the magic numbers being thrown around in the code (xstart, ystart, etc).",No,No,N/A,N/A or neither,3,18,0,0,No,Yes,Advanced,,7,
10/27/2023 13:54:15,Amy Chen,Coordinates,https://p5js.org/examples/structure-coordinates.html,31,none of the above,none of the above,"background, createCanvas, draw, height, line, noFill, point, rect, setup, stroke, width","height, line, noFill, point, rect, stroke, width",none of the above,,Visual,Yes,,,,,Yes,Grades 7 and above,,,,,,,5,,,,,"Line 13 - Suggestion: instead of Y, use: y-coordinate 
The comments from line 11-13 & 18 - 22 & 26 - 30 do not explained width/height * (value)",,1,instead of using width/height * (value) using direct coordinates would be more accessible. ,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,No,Beginner,It would be beneficial to explain width/height * (value) ,9,
10/28/2023 0:31:05,Lance Cole,Copy() method,https://p5js.org/examples/image-copy-method.html,16,"custom variables, method calling","custom variables, method calling","copy, createCanvas, cursor, image, loadImage, mouseDragged, mouseX, mouseY, noCursor, preload, setup","copy, createCanvas, cursor, image, loadImage, mouseDragged, mouseX, mouseY, noCursor, preload, setup",interactivity,"image, copying image,","Visual, Interactive/Kinesthetic",Depends on image,No,No,No,,Yes,Grade 5 and below,,,,,,,1,,,,,"Needs comments on loading images, what cursor() does, and also at least a link to the copy() reference, if not an explanation in comments.",,1,,No,3,No,No,I'd replace draft and ready vars with something like original_image and copied_image or something.,No,No,N/A,N/A or neither,2,0,0,0,No,No,Intermediate,,7,
10/27/2023 15:41:44,Amy Chen,Create Graphics,https://p5js.org/examples/structure-create-graphics.html,23,object property assignment,object property assignment,"background, createCanvas, createGraphics, draw, ellipse, fill, height, image, mouseX, mouseY, noFill, noStroke, rect, setup, stroke, width","createGraphics, image, mouseX, mouseY,",interactivity,,"Visual, Interactive/Kinesthetic",No,Yes,Interactive,"There is a flash, which may startle the viewer, but only happens once. ",,Yes,Grade 5 and below,p5.Renderer object,,,,,,2,,,,,"Line 1 - Clarify was 'pg' is or the rationale for the term
Line 15 - A comment explaining the following code for 'pg' would be helpful",,2,,Yes,2,No,No,,No,No,N/A,N/A or neither,1,0,4,0,No,No,Beginner,,10,"The terminology for ""Create Graphics"" may imply that there is imagery / incorporating media within the example, it might be mislead and may need clarification within the description. "
10/27/2023 0:20:52,Lance Cole,Create Image,https://p5js.org/examples/image-create-image.html,21,"for loop, custom variables, method calling","for loop, custom variables, method calling","background, createCanvas, createImage, draw, height, image, loadPixels, map, mouseX, mouseY, set, setup, updatePixels, width","background, createCanvas, createImage, draw, height, image, loadPixels, map, mouseX, mouseY, set, setup, updatePixels, width",interactivity,,Visual,"Technically fails on normal text, but there's no text, so it's fine.",Yes,Yes,No,"Theoretically could stand for the squares to be a bit less transparent, but I don't know if it's an *issue*, per se.",Yes,Grades 7 and above,,,,,,"Would like further explanation on what pixels are, how they work, how buffers, images, and image gradients work, etc.",2,,,,,"Next to no comments, especially on the nested for loop and setup() in general, and the code in the draw() also deserves further explanation.",,1,,Yes,4,No,No,,No,No,N/A,N/A or neither,1,3,0,0,No,Yes,Intermediate,,6,
10/28/2023 12:58:59,Amy Chen,Directional,https://p5js.org/examples/lights-directional.html,19,custom variables,none of the above,"background, createCanvas, directionalLight, draw, fill, height, mouseX, mouseY, noStroke, setup, sphere, translate, WEBGL, width","directionalLight, sphere, mouseX, mouseY",interactivity,,"Visual, Interactive/Kinesthetic","Since this is interactive, for the most part it does not pass. ",No,,,,Yes,Grade 5 and below,,,The second sentence is difficult to understand. ,,,Possibly explain what WEBGL is and how it functions with this example. ,1,,,,,"Comments to explain lines 4, 12-14 would be helpful. ",,1,,No,3,No,No,,No,Yes,N/A,N/A or neither,1,2,0,0,No,No,Beginner,This needs clarifying comments in order to be beginner friendly. ,9,
10/24/2023 18:48:57,Darren Kessner,Distance 1D,https://p5js.org/examples/math-distance-1d.html,60,"if/else, custom variables",none of the above,"background, createCanvas, draw, fill, height, mouseX, noStroke, rect, setup, width",rect,"animation, interactivity",,"Visual, Interactive/Kinesthetic",No,Yes,Yes,No,,Yes,Grades 7 and above,,,,,,,1,,,,,,,3,"I'm not sure what this example is demonstrating.  It does a mysterious transformation from the mouse position to speeds of the moving objects.  This example should be re-focused and simplified (e.g. demonstrate mouse interaction only, or demonstrate speeds and bouncing only)",Yes,4,No,No,,No,No,N/A,N/A or neither,6,0,0,0,No,Yes,Beginner,,4,
10/29/2023 12:21:02,Darren Kessner,Distance 1D : Editor Link,https://editor.p5js.org/malayvasa2001/sketches/UL3NmUPa6,28,for loop,for loop,"angleMode, background, ceil, circle, cos, createCanvas, DEGREES, draw, fill, frameCount, line, map, mouseX, setup, sin, width","sin, cos, map","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,No,,No,,,,,,,,2,,,,,Comments do not explain the formulas used for the map and trig functions.,angleMode(DEGREES) + magic number 3.6 is unnecessarily confusing,4,The formulas are unnecessarily difficult to understand,Yes,1,No,No,,No,No,Degrees,angleMode,0,5,0,0,No,Yes,Intermediate,,6,
10/24/2023 18:56:35,Darren Kessner,Distance 2D,https://p5js.org/examples/math-distance-2d.html,19,"for loop, custom variables",for loop,"background, createCanvas, dist, draw, ellipse, height, max, mouseX, mouseY, noStroke, setup, width",ellipse,"animation, math, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,Yes,Moving the mouse quickly can cause flashing.,,Yes,Grades 7 and above,dist() function,,,,,,1,,,,,,,2,Very succinct example of the dist() function and a double loop.,No,5,No,No,,No,No,N/A,N/A or neither,1,2,0,0,No,Yes,Beginner,"The example is simple (beginner syntax), but forces the reader to understand the coordinate system, the dist() function, and how the double loop iterates over a grid on the screen (intermediate understanding?).",10,
10/23/2023 23:53:59,Kathryn,DOM Form Elements,https://p5js.org/examples/dom-dom-form-elements.html,139,"if/else, switch case, custom variables, custom functions, method calling","if/else, switch case, custom functions","background, createButton, createCanvas, createCheckbox, createInput, createP, createRadio, createSelect, createSlider, createSpan, draw, fill, height, key, log, mouseClicked, mouseX, mouseY, random, rect, setup, text, textFont, width","createButton, createCanvas, createCheckbox, createInput, createP, createRadio, createSelect, createSlider, createSpan, key, log, mouseClicked, text, textFont","interactivity, typography",,"Visual, Interactive/Kinesthetic",Yes,,,,,Yes,Grades 7 and above,"slider, button, checkbox, radio group, select menu, entry field, drop down","Missing capital letter at the start, ""how"" shouldn't be bold",Listing the items used in this way is confusing,,,,5,,"Some abbreviations (""param"") here and there? Some jargon used.",,,,,5,It seems like it's cramming too many form items into one example?,No,3,No,No,,No,No,N/A,N/A or neither,6,2,0,0,No,Yes,Advanced,,3,"Wayyy too long and complex for examples, but good information in the example itself."
10/26/2023 10:30:27,Darren Kessner,Double Random,https://p5js.org/examples/math-double-random.html,17,"for loop, custom variables","for loop, custom variables","background, createCanvas, draw, frameRate, height, point, random, setup, stroke, width",random(),"animation, simulation",,Visual,The points are too small (difficult to see),Yes,Yes,No,,Yes,Grade 6,random(),,,,"Not sure what ""sawtooth"" means here",,1,,,,,,frameRate,3,,Yes,3,No,No,,No,No,N/A,N/A or neither,2,2,0,0,No,Yes,Intermediate,"This example is rather complicated for how little code there is.  The variable ""rand"" is used as a parameter, and is also changing.",2,
10/24/2023 15:31:26,Amy Chen,Drawing,https://p5js.org/examples/hello-p5-drawing.html,127,"if/else, for loop, custom variables, custom functions, custom classes","custom variables, custom functions, custom classes","background, createCanvas, createVector, draw, ellipse, fill, hue, line, millis, mousePressed, mouseReleased, mouseX, mouseY, push, random, setup, splice, stroke, Vector","mousePressed, mouseReleased, createVector, draw, ","animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,No,,,,,,,,5,"75, 82 ""plath""
86 ""shold""",,,,7 - needs more clarification ,,3,,Yes,4,No,No,,Yes,No,N/A,N/A or neither,5,1,0,2,No,No,Intermediate,,9,
10/31/2023 14:51:31,Amy Chen,Drawing - Revised,https://p5js.org/examples/hello-p5-drawing.html,128,"if/else, for loop, custom variables, custom classes",custom functions,"background, createCanvas, createVector, draw, ellipse, fill, hue, line, millis, mousePressed, mouseReleased, mouseX, mouseY, push, random, setup, splice, stroke, Vector","mousePressed, createVector, mouseReleased, mouseX, mouseY, millis","animation, interactivity",,"Visual, Interactive/Kinesthetic",Yes,Yes,No,,Suggestion - Increasing the size of the ellipse and stroke thickness would make this example more accessible. ,No,,,,,,,,4,"Line 76 & 83 - ""plaths"" to ""paths""","Lines 4 & 8 - Instead of posing the comments as questions, it would be better to state their purpose, to be more direct. ",,,,,4,,Yes,5,No,No,,Yes,No,N/A,N/A or neither,5,1,6,0,No,Yes,Intermediate,,8,
10/23/2023 23:41:45,Kathryn,Drop,https://p5js.org/examples/dom-drop.html,28,"if/else, custom variables, custom functions",custom functions,"background, CENTER, createCanvas, createImg, draw, fill, height, image, log, noLoop, noStroke, setup, text, textAlign, textSize, width",none,"data visualization, interactivity",,"Visual, Interactive/Kinesthetic",Yes,No,,,,Yes,Grade 5 and below,image file (?),,,,,Too short to analyze.,3,,,,,,,5,,No,5,No,No,,No,Yes,N/A,N/A or neither,0,2,0,0,No,No,Advanced,,8,
10/28/2023 15:04:50,Amy Chen,Easing,https://p5js.org/examples/input-easing.html,21,none of the above,none of the above,"background, createCanvas, draw, ellipse, mouseX, mouseY, noStroke, setup"," ellipse, mouseX, mouseY,",interactivity,,"Visual, Interactive/Kinesthetic",Yes,Yes,No,No,,Yes,Grades 7 and above,,,,,,The introductory paragraph makes more sense if it was inside the code as comments. ,1,,,,,The introductory paragraph can be broken down into sentences and applied as comments inside the code. ,,2,,Yes,4,No,No,The abbreviations dx and dy can be changed to dotX / dotY for clarity purposes. ,No,No,N/A,N/A or neither,3,4,0,0,No,Yes,Beginner,,9,
10/27/2023 1:57:20,Lance Cole,Edge Detection,Edge Detection,89,"for loop, custom variables, method calling","for loop, custom variables, method calling","color, createCanvas, createImage, draw, get, height, image, loadImage, loadPixels, noLoop, preload, red, set, setup, updatePixels, width","color, createCanvas, createImage, draw, get, height, image, loadImage, loadPixels, noLoop, preload, red, set, setup, updatePixels, width",none of the above,"image, image processing, edge detection",Visual,"Yes, but depends on the image being used to demonstrate",No,No,No,,Yes,Grades 7 and above,"pixel, image, high-pass filter, edge detection",,,,,,5,,,,,,,1,,Yes,5,No,No,,No,No,N/A,N/A or neither,1,10,0,0,No,Yes,Advanced,,8,
10/25/2023 3:11:49,Lance Cole,Embedded Iteration,https://p5js.org/examples/control-embedded-iteration.html,18,"for loop, custom variables, method calling","for loop, custom variables, method calling","background, createCanvas, fill, height, line, noStroke, rect, setup, stroke, width","background, createCanvas, fill, height, line, noStroke, rect, setup, stroke, width","data visualization, math",,Visual,Yes,No,No,No,,Yes,Grades 7 and above,,,,,,"A bit of explanation on what exactly is happening within the patch would be very helpful (e.g., we generate a grid of lines and rectangles using nested for loops to first traverse the ""x"", then ""y"" axis of our grid"").",1,,,,,"A comment or maybe even two on the canvas creation would be nice. Also, the nested for loop definitely needs some commenting on: 1) the fact that we have a row-to-column traversal system, and also what the inner code is doing as well.",,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,3,0,0,No,Yes,Intermediate,,8,"Needs commenting 100%, but otherwise is fairly simple, clear to read code."
10/24/2023 14:03:10,Amy Chen,Flocking,https://p5js.org/examples/hello-p5-flocking.html,178,"if/else, for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","background, createCanvas, createVector, dist, draw, ellipse, fill, height, mag, random, setup, stroke, Vector, width",none,"animation, simulation",,Visual,Yes,Yes,Yes,No,,No,,,,,,,,4,,,,,Clarify Desired in lines 71,,4,,Yes,4,No,No,,Yes,No,N/A,N/A or neither,1,17,0,0,No,Yes,Intermediate,,8,"To understand Flocking, knowledge on Cohesion, Separation, Alignment, Boids, flocking behaviors is needed."
10/29/2023 14:19:59,Darren Kessner,Flocking,https://p5js.org/examples/simulate-flocking.html,219,"for loop, custom variables, custom classes, method calling, object property assignment","for loop, custom variables, custom classes, method calling, object property assignment","background, beginShape, CLOSE, createCanvas, createP, createVector, dist, draw, endShape, fill, height, mag, mouseDragged, mouseX, mouseY, pop, push, radians, random, rotate, setup, stroke, translate, Vector, vertex, width","Vector, createVector","animation, math, interactivity, simulation",physics,"Visual, Interactive/Kinesthetic",No,Yes,Yes,No,,Yes,Grades 7 and above,Flocking demo in Nature of Code,,,,,,5,,,,,,,3,Good demo of flocking behavior.  Code is rather complicated.,No,5,Yes,No,,No,No,N/A,N/A or neither,1,23,7,14,No,Yes,Advanced,,8,
10/31/2023 14:15:03,Amy Chen,Flocking - Revised,https://p5js.org/examples/hello-p5-flocking.html,178,"for loop, custom variables, custom functions, method calling","custom variables, custom functions, method calling","background, createCanvas, createVector, dist, draw, ellipse, fill, height, mag, random, setup, stroke, Vector, width","dist, ellipse, random",animation,,Visual,Yes,Yes,Yes,No,,Yes,,"Explaining: Cohesion, Separation, Alignment",,"Instead of using a link to Craig Reynolds' Flocking link, include a brief sentence about it within the introduction",Clarifying the use of of the word flocking within the introduction. ,,"Suggestions - I would use this chance to include a paragraph about the information provided as well as linking to make the information easily accessible for the viewer. Also, since the code includes 'boids' I would clarify what boids are either in the introduction or within the comments. ",4,,,,,,,4,,Yes,5,No,No,,Yes,No,N/A,N/A or neither,1,16,4,11,No,Yes,Intermediate,This is intermediate to advanced with the amount of custom methods and function it includes. ,6,"While this is a good example of showcasing the possibilities that p5 can offer, it does not necessarily mean that it will be helpful for someone learning creative coding. "
10/31/2023 22:05:46,Lance Cole,Follow 1,https://p5js.org/examples/interaction-follow-1.html,32,"custom variables, method calling","custom variables, method calling","atan2, background, cos, createCanvas, draw, ellipse, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate","atan2, background, cos, createCanvas, draw, ellipse, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate",interactivity,,"Visual, Interactive/Kinesthetic",No,Yes,Yes,No,,Yes,Grade 5 and below,"mouseX/Y, atan2, cos, sin (and any relevant math/trig explanation material), ellipse",,,,,,1,,,,,,,1,,Yes,3,No,No,,No,No,Degrees,N/A or neither,4,2,0,0,No,No,Intermediate,,5,
10/31/2023 22:13:04,Lance Cole,Follow 2,https://p5js.org/examples/interaction-follow-2.html,33,"custom variables, custom functions, method calling","custom variables, custom functions, method calling","atan2, background, cos, createCanvas, draw, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate","atan2, background, cos, createCanvas, draw, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate","animation, interactivity",,"Visual, Interactive/Kinesthetic",The darker-colored arm elements could be better contrasted with the black background.,Yes,Yes,No,,Yes,Grade 6,"angles, atan2, sin, cos, mouseX/Y, push/pop, translate, rotate",,,,,,1,,,,,,,1,,No,4,No,No,,No,Yes,Degrees,N/A or neither,3,3,0,0,No,No,Intermediate,"Intermediate with some background trig knowledge, advanced without some of those math fundamentals. It'd be hard to ""intuitively"" understand what's going with the trig functions without that background context.",6,
10/31/2023 22:22:32,Lance Cole,Follow 3,https://p5js.org/examples/interaction-follow-3.html,41,"for loop, custom variables, custom functions, method calling","for loop, custom variables, custom functions, method calling","atan2, background, cos, createCanvas, draw, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, strokeWeight, translate","atan2, cos, draw, line, mouseX, mouseY, pop, push, rotate, setup, sin, stroke, translate","animation, math, interactivity",,"Visual, Interactive/Kinesthetic",No,,,,"Overall, the segmented arm pieces could be brightened up, made thicker stroke weights, and less transparent to be better contrasted w/ the background.",Yes,Grade 5 and below,,,"atan2, sin, cos, translate, rotate, push/pop",,,,1,,,,,,,1,,Yes,3,No,No,"I forgot to mention this, but potentially changing the a arg in segment() to angle, but it's a very minor thing that could be inferenced through the earlier segment() calls.",No,Yes,Degrees,N/A or neither,4,5,0,0,No,Yes,Intermediate,"Similar to the other follow examples, intermediate with trig knowledge, advanced without, most likely. (This could also be a me problem, who knows.)",6,
10/29/2023 14:02:20,Darren Kessner,Forces,https://p5js.org/examples/simulate-forces.html,136,"for loop, custom variables, custom functions, custom classes, method calling, object property assignment","for loop, custom variables, custom functions, custom classes, method calling, object property assignment","background, copy, createCanvas, createVector, draw, ellipse, fill, height, mag, mousePressed, noStroke, random, rect, setup, stroke, strokeWeight, Vector, width","Vector, createVector, ","animation, math, simulation",physics,Visual,No,Yes,Yes,No,,Yes,Grades 7 and above,Nature of code - physics simulations,,,,,,5,,,,,,,3,This is a really good physics demo.  ,No,5,Yes,No,,No,No,N/A,N/A or neither,2,9,9,9,No,Yes,Advanced,This is a physics simulation from Nature of Code,9,
10/27/2023 14:45:34,Amy Chen,Functions,https://p5js.org/examples/structure-functions.html,22,"for loop, custom functions","for loop, custom functions","background, createCanvas, draw, ellipse, fill, height, noLoop, noStroke, setup, width",noLoop,none of the above,,Visual,Yes,No,,,,No,,,,,,,,1,,,,,"Comments that explain: xloc + yloc, syntax for ""grayvalues"" and ""steps"", and how the draw function is pulling from drawTarget would be beneficial. ",,3,,Yes,4,No,No,,No,Yes,N/A,N/A or neither,0,2,0,0,No,Yes,Beginner,This would be beginner friendly depending on how documented it is. ,8,
10/29/2023 15:33:19,Darren Kessner,Game of Life,https://p5js.org/examples/simulate-game-of-life.html,90,"for loop, custom variables, custom functions","if/else, for loop, custom variables, custom functions","background, createCanvas, draw, fill, floor, frameRate, height, mousePressed, random, rect, setup, stroke, width","Array, arrays","animation, math, simulation",,Visual,Yes,Yes,Yes,Yes,,Yes,Grade 5 and below,Nature of Code (Game of Life),,,,,,5,,,,,,,4,The animation produces flashes.  Mouse click to advance generation would be better.,Yes,4,No,No,,No,No,N/A,N/A or neither,5,9,0,0,No,Yes,Advanced,,7,
10/29/2023 15:44:12,Caleb,Geometries,https://p5js.org/examples/3d-geometries.html,69,none of the above,none of the above,"background, box, cone, createCanvas, cylinder, describe, draw, ellipsoid, frameCount, normalMaterial, plane, pop, push, rotateX, rotateY, rotateZ, setup, sphere, torus, translate, WEBGL","box, cone, cylinder, ellipsoid, normalMaterial, plane, rotateX, rotateY, rotateZ, sphere, torus, translate, WEBGL","3D, animation",,Visual,This is difficult to evaluate for the normal material. It may be worth including an option to switch to a material with high contrast against the background.,Yes,Yes,No,,Yes,Grade 5 and below,,,"""now"" seems like odd wording, as though this is an announcement",,,"Only one sentence, could use more explanation",1,,,,,,,2,,No,5,No,No,,No,No,Radians,N/A or neither,0,0,0,0,No,No,Intermediate,,9,"The name could better suggest the focus of this example: ""3D shapes"""
10/26/2023 12:39:32,Darren Kessner,Graphing 2D Equations,https://p5js.org/examples/math-graphing-2d-equations.html,47,for loop,for loop,"alpha, atan2, blue, color, cos, createCanvas, draw, green, height, loadPixels, mouseX, pixelDensity, pixels, red, setup, sin, sqrt, updatePixels, width","pixels, updatePixels, loadPixels","math, interactivity",,"Visual, Interactive/Kinesthetic","I think it's ok, but contrast varies (grayscale)",Yes,User-controlled animation (mouse),No,May flash if user moves mouse quickly,Yes,Grade 6,Some reference for the polar functionj used:  sin(n cos(r) + 5θ) ,,,,,,5,,,,,,,4,"The demo is very engaging for the user, but difficult to understand without background in polar functions, polar/rectangular coordinate conversion, and pixel manipulation.",Yes,4,No,No,,No,No,Radians,N/A or neither,0,15,0,0,No,Yes,Advanced,,5,
10/28/2023 10:59:39,Amy Chen,Hue,https://p5js.org/examples/color-hue.html,20,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","colorMode, HSB",none of the above,,Visual,Yes,No,,,,No,,,,,,,,4,,,,,Line 3 - Suggestion: Explain colorMode(HSB) in a comment similar to line 15.,,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/31/2023 12:24:30,Amy Chen,Hue - Editor Link,https://editor.p5js.org/malayvasa2001/sketches/cp-vOyVaN,18,for loop,for loop,"background, colorMode, createCanvas, draw, fill, height, HSB, noStroke, rect, setup, width","colorMode, HSB, fill",none of the above,,Visual,No,,,,"Since the saturation of the colors here are more muted, it fails the test. ",No,,,,,,,,4,,,,,"Line 3 - Explain what HSB stands for would be helpful
Line 14 - Explain how the fill functions would be helpful",,1,,No,5,No,No,,No,No,N/A,N/A or neither,0,0,0,0,No,Yes,Beginner,,10,
10/24/2023 17:55:54,Darren Kessner,Increment Decrement,https://p5js.org/examples/math-increment-decrement.html,37,"if/else, custom variables",none of the above,"colorMode, createCanvas, draw, frameRate, height, line, RGB, setup, stroke, width",none,animation,,Visual,"some of the time the contrast is high, but the contrast changes with time",Yes,Yes,No,The color gradient is unnecessary,Yes,Grade 5 and below,,,,,,"Terse, but gets the job done: Writing ""a++"" is equivalent to ""a = a + 1"". Writing ""a--"" is equivalent to ""a = a - 1"".",1,,,,,,"colorMode, frameRate",4,"This example is way too complicated to illustrate a simple language concept (increment/decrement).  I recommend a simple rect or ellipse moving across the screen, high contrast (black/white).",Yes,1,No,No,,No,No,N/A,N/A or neither,3,0,0,0,No,Yes,Intermediate,"The example as written is intermediate, but it should be beginner.",2,
